0.0145620900047	0.177007872331	0.0	0.0

order	e	e_dot	theta	theta_dot
145	7.7	0.01666	0.0	0.0
146	7.0	0.00433	0.0	0.0
147	6.3	0.00434	0.0	0.0
148	5.0	0.00803	0.0	0.0
149	4.1	0.00555	0.0	0.0
150	4.5	-0.00247	0.0	0.0
151	5.0	-0.00311	0.0	0.0
152	5.0	0.0	0.0	0.0
153	5.5	-0.04504	0.0	0.0
154	5.3	0.00064	0.0	0.0
155	4.4	0.00555	0.0	0.0
156	4.4	0.0	0.0	0.0
157	2.4	0.0124	0.0	0.0
158	1.9	0.0031	0.0	0.0
159	5.0	-0.01913	0.0	0.0
160	6.1	-0.00679	0.0	0.0
161	5.0	0.00682	0.0	0.0
162	5.0	0.0	0.0	0.0
163	5.1	-0.01041	0.0	0.0
164	4.2	0.00287	0.0	0.0
165	11.4	-0.04168	0.0	0.0
166	11.4	0.0	0.0	0.0
167	2.4	0.05592	0.0	0.0
168	1.5	0.00555	0.0	0.0
169	-0.8	0.01421	0.0	0.0
170	-2.3	0.00926	0.0	0.0
171	-0.6	-0.03755	0.0	0.0
172	-0.6	0.0	0.0	0.0
173	0.3	-0.02054	0.0	0.0
174	-0.6	0.00763	0.0	0.0
175	0.2	-0.00494	0.0	0.0
176	1.2	-0.08112	0.0	0.0
177	1.2	0.0	0.0	0.0
178	0.2	0.00619	0.0	0.0
179	-0.9	0.0068	0.0	0.0
180	-1.5	0.00372	0.0	0.0
181	-1.5	0.0	0.0	0.0
182	-1.4	-0.00062	0.0	0.0
183	-3.7	0.01429	0.0	0.0
184	-4.7	0.00617	0.0	0.0
185	-0.2	-0.02779	0.0	0.0
186	1.6	-0.34827	0.0	0.0
187	-0.8	0.00754	0.0	0.0
188	-2.1	0.00802	0.0	0.0
189	-4.0	0.01168	0.0	0.0
190	-4.2	0.00125	0.0	0.0
191	-3.0	-0.00741	0.0	0.0
192	-3.2	0.00123	0.0	0.0
193	-2.1	-0.00683	0.0	0.0
194	-1.2	-0.00555	0.0	0.0
195	-0.1	-0.0068	0.0	0.0
196	0.7	-0.11029	0.0	0.0
197	-0.9	0.00507	0.0	0.0
198	-2.2	0.00802	0.0	0.0
199	-2.2	0.0	0.0	0.0
200	-2.1	-0.00062	0.0	0.0
201	-2.0	-0.00062	0.0	0.0
202	-1.9	-0.00062	0.0	0.0
203	-1.8	-0.00062	0.0	0.0
204	-1.6	-0.00123	0.0	0.0
205	-2.6	0.00617	0.0	0.0
206	-2.8	0.0211	0.0	0.0
207	-1.6	-0.00382	0.0	0.0
208	-1.3	-0.00186	0.0	0.0
209	-3.5	0.01365	0.0	0.0
210	-4.5	0.00618	0.0	0.0
211	-0.4	-0.02368	0.0	0.0
212	-0.4	0.0	0.0	0.0
213	-1.3	0.00562	0.0	0.0
214	-1.3	0.0	0.0	0.0
215	-1.3	0.0	0.0	0.0
216	-1.3	0.0	0.0	0.0
217	-1.3	0.0	0.0	0.0
218	-3.5	0.01263	0.0	0.0
219	-3.5	0.0	0.0	0.0
220	-3.8	0.00185	0.0	0.0
221	-6.1	0.01429	0.0	0.0
222	-6.1	0.0	0.0	0.0
223	-7.9	0.00549	0.0	0.0
224	-6.1	-0.0093	0.0	0.0
225	-6.1	0.0	0.0	0.0
226	-10.9	0.02963	0.0	0.0
227	-7.4	-0.0216	0.0	0.0
228	-10.0	0.01613	0.0	0.0
229	-17.0	0.04052	0.0	0.0
230	-10.0	-0.03584	0.0	0.0
231	-10.0	0.0	0.0	0.0
232	-10.0	0.0	0.0	0.0
233	-10.0	0.0	0.0	0.0
234	-10.0	0.0	0.0	0.0
235	-10.0	0.0	0.0	0.0
236	-10.0	0.0	0.0	0.0
237	-10.0	0.0	0.0	0.0
238	15.7	-0.15881	0.0	0.0
239	20.7	-0.01543	0.0	0.0
240	24.6	-0.0224	0.0	0.0
241	20.7	0.02617	0.0	0.0
242	-10.2	0.69918	0.0	0.0
243	20.7	-0.19154	0.0	0.0
244	20.7	0.0	0.0	0.0
245	20.7	0.0	0.0	0.0
246	20.7	0.0	0.0	0.0
247	20.7	0.0	0.0	0.0
248	20.7	0.0	0.0	0.0
249	20.7	0.0	0.0	0.0
250	-1.9	1.87646	0.0	0.0
251	-2.7	0.00225	0.0	0.0
252	-2.7	0.0	0.0	0.0
253	-1.2	-0.00929	0.0	0.0
254	-1.6	0.0025	0.0	0.0
255	-1.6	0.0	0.0	0.0
256	-1.7	0.00062	0.0	0.0
257	-1.8	0.00061	0.0	0.0
258	-1.8	0.0	0.0	0.0
259	-1.8	0.0	0.0	0.0
260	-1.6	-0.00124	0.0	0.0
261	-2.6	0.00621	0.0	0.0
262	-2.2	-0.00231	0.0	0.0
263	-2.2	0.0	0.0	0.0
264	-1.5	-0.1084	0.0	0.0
265	-1.2	-0.00095	0.0	0.0
266	-3.1	0.01099	0.0	0.0
267	-3.1	0.0	0.0	0.0
268	-3.1	0.0	0.0	0.0
269	-3.1	0.0	0.0	0.0
270	-3.1	0.0	0.0	0.0
271	-3.1	0.0	0.0	0.0
272	-3.1	0.0	0.0	0.0
273	-3.1	0.0	0.0	0.0
274	-3.1	0.0	0.0	0.0
275	-3.1	0.0	0.0	0.0
276	-3.1	0.0	0.0	0.0
277	-12.5	0.05792	0.0	0.0
278	-2.9	-0.05974	0.0	0.0
279	-2.0	-0.00556	0.0	0.0
280	-1.4	-0.0037	0.0	0.0
281	-1.5	0.00062	0.0	0.0
282	-1.6	0.00062	0.0	0.0
283	-1.8	0.00123	0.0	0.0
284	-3.5	0.19239	0.0	0.0
285	-4.0	0.00159	0.0	0.0
286	-3.2	-0.00493	0.0	0.0
287	-3.4	0.00124	0.0	0.0
288	-1.7	-0.01056	0.0	0.0
289	-0.9	-0.00494	0.0	0.0
290	-1.1	0.00123	0.0	0.0
291	-0.9	-0.00125	0.0	0.0
292	-3.0	0.01295	0.0	0.0
293	-3.0	0.0	0.0	0.0
294	-1.6	-0.14616	0.0	0.0
295	-1.1	-0.0016	0.0	0.0
296	-1.5	0.00247	0.0	0.0
297	-1.2	-0.00185	0.0	0.0
298	-3.4	0.01366	0.0	0.0
299	-4.5	0.00677	0.0	0.0
300	-3.6	-0.00557	0.0	0.0
